id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,rate_unemployment_normalized,percent_college_normalized,percent_lunch_normalized,income_poverty_ratio_estimate,income_poverty_se
120039000605,0.0867908552074513,0.849171047310958,0.865930599369085,97500.0,22.2771672771673,0.302137067059691,2016-2017,FL,33156,Regular School,High,No,-0.17083313019133664,1.6746032707072276,-0.46271566215693044,820,163
120039000606,0.0765595463137996,0.612964728312679,0.223564954682779,23644.0,18.1257631257631,0.819230769230769,2016-2017,FL,33135,Regular School,High,No,-0.35167163775653876,0.24230563850124215,1.7448594668240034,147,32
120039000607,0.103471749489449,0.760282776349614,0.741176470588235,70306.0,18.980463980464,0.714690867838911,2016-2017,FL,33166,Regular School,High,No,0.124001876567288,1.1356064285874168,1.2985579834954895,141,19
120039000608,0.0542828685258964,0.610659072416599,0.815094339622642,65854.0,18.3211233211233,0.601249349297241,2016-2017,FL,33183,Regular School,High,No,-0.7454121851829668,0.22832470228140622,0.8142537386846209,226,39
120039000609,0.146739130434783,0.554462164913471,0.7088,29519.0,18.8827838827839,0.689024390243902,2016-2017,FL,33162,Regular School,High,No,0.8887533543830088,-0.1124396680173217,1.1889827220885303,226,92
120039000610,0.19625468164794,0.403335602450647,0.669763513513513,32333.0,16.4407814407814,0.82690794649882,2016-2017,FL,33161,Regular School,High,No,1.763941316718072,-1.028834362693165,1.7776348526516965,135,59
120039000612,0.0926335757192539,0.682363264112314,0.778818022235225,60673.0,18.1990231990232,0.747637915269735,2016-2017,FL,33030,Regular School,High,No,-0.0675629749787846,0.6631214698723904,1.4392154352808504,316,103
120039000613,0.0488953277797899,0.834707780566511,0.846875,60521.0,18.2967032967033,0.683275563258232,2016-2017,FL,33155,Regular School,High,No,-0.8406370325704923,1.5869015411350138,1.1644398444222677,591,135
120039000614,0.113262342691191,0.335173501577287,0.346687211093991,27561.0,16.5873015873016,0.783000949667616,2016-2017,FL,33157,Regular School,High,No,0.2970507289853401,-1.4421527535860454,1.590187212531836,145,25
120039000615,0.0799214806505889,0.527429274292743,0.494654312188168,52715.0,19.4688644688645,0.663598857505554,2016-2017,FL,33165,Regular School,High,No,-0.2922494079796219,-0.2763605376704075,1.0804361018558637,326,101
120039001443,0.0801702731465058,0.735976065818998,0.648902821316614,36651.0,26.1355311355311,0.267782426778243,2016-2017,FL,33176,Regular School,High,No,-0.2878519976264902,0.9882164515226147,-0.6093824057896343,230,69
